seed,model_variant,threshold_min,group,n_clinical_R1,n_geo_realizations,n_unique_origins,fnr,C,J,J_ind,E,D,joint_event_count,constrained_event_count
43,post_processing,60.0,0,9,900,889,0.3333333333333333,0.022222222222222223,0.006666666666666667,0.007407407407407408,-0.0007407407407407406,-0.034090909090909116,6,20
43,post_processing,60.0,1,33,3300,3134,0.30303030303030304,0.02,0.005757575757575757,0.006060606060606061,-0.00030303030303030325,-0.015460729746444024,19,66
43,post_processing,60.0,ALL,42,4200,3927,0.30952380952380953,0.020476190476190478,0.005952380952380952,0.006337868480725624,-0.00038548752834467216,-0.01921968095329618,25,86
43,post_processing,90.0,0,9,900,889,0.3333333333333333,0.0011111111111111111,0.0011111111111111111,0.00037037037037037035,0.0007407407407407408,0.6674082313681868,1,1
43,post_processing,90.0,1,33,3300,3134,0.30303030303030304,0.0027272727272727275,0.0009090909090909091,0.0008264462809917356,8.264462809917346e-05,0.030385900941962918,3,9
43,post_processing,90.0,ALL,42,4200,3927,0.30952380952380953,0.002380952380952381,0.0009523809523809524,0.0007369614512471657,0.0002154195011337867,0.09069212410501193,4,10
44,none,30.0,0,10,1000,987,0.6,0.152,0.097,0.09119999999999999,0.0058000000000000135,0.04499751737835156,97,152
44,none,30.0,1,32,3200,3043,0.1875,0.1459375,0.0253125,0.02736328125,-0.002050781249999998,-0.01645366999109152,81,467
44,none,30.0,ALL,42,4200,3947,0.2857142857142857,0.1473809523809524,0.04238095238095238,0.04210884353741497,0.0002721088435374136,0.0021654405611378214,178,619
44,none,45.0,0,10,1000,987,0.6,0.064,0.046,0.0384,0.007600000000000003,0.1268696581196581,46,64
44,none,45.0,1,32,3200,3043,0.1875,0.050625,0.009375,0.0094921875,-0.00011718750000000097,-0.0024382512861775563,30,162
44,none,45.0,ALL,42,4200,3947,0.2857142857142857,0.05380952380952381,0.018095238095238095,0.015374149659863945,0.00272108843537415,0.05344473591619869,76,226
44,none,60.0,0,10,1000,987,0.6,0.028,0.022,0.0168,0.0052,0.1910640799529688,22,28
44,none,60.0,1,32,3200,3043,0.1875,0.023125,0.0028125,0.0043359374999999995,-0.0015234374999999996,-0.06743787933807127,9,74
44,none,60.0,ALL,42,4200,3947,0.2857142857142857,0.024285714285714285,0.007380952380952381,0.0069387755102040816,0.0004421768707482997,0.01866046565038898,31,102
44,none,90.0,0,10,1000,987,0.6,0.004,0.003,0.0024,0.0006000000000000003,0.1506024096385542,3,4
44,none,90.0,1,32,3200,3043,0.1875,0.0028125,0.0003125,0.00052734375,-0.00021484375000000003,-0.07660433859117657,1,9
44,none,90.0,ALL,42,4200,3947,0.2857142857142857,0.0030952380952380953,0.0009523809523809524,0.0008843537414965987,6.802721088435373e-05,0.022046260403079165,4,13
44,reweighing,30.0,0,10,1000,987,0.5,0.152,0.076,0.076,0.0,0.0,76,152
44,reweighing,30.0,1,32,3200,3043,0.21875,0.1459375,0.0315625,0.031923828125,-0.0003613281249999975,-0.00289897995081137,101,467
44,reweighing,30.0,ALL,42,4200,3947,0.2857142857142857,0.1473809523809524,0.04214285714285714,0.04210884353741497,3.4013605442174966e-05,0.000270680070142193,177,619
44,reweighing,45.0,0,10,1000,987,0.5,0.064,0.038,0.032,0.005999999999999998,0.10016025641025639,38,64
44,reweighing,45.0,1,32,3200,3043,0.21875,0.050625,0.0109375,0.01107421875,-0.00013671875000000056,-0.002844626500540487,35,162
44,reweighing,45.0,ALL,42,4200,3947,0.2857142857142857,0.05380952380952381,0.017380952380952382,0.015374149659863945,0.0020068027210884375,0.0394154927381965,73,226
44,reweighing,60.0,0,10,1000,987,0.5,0.028,0.02,0.014,0.006,0.22045855379188717,20,28
44,reweighing,60.0,1,32,3200,3043,0.21875,0.023125,0.00375,0.00505859375,-0.0013085937499999999,-0.057927409175009936,12,74
44,reweighing,60.0,ALL,42,4200,3947,0.2857142857142857,0.024285714285714285,0.007619047619047619,0.0069387755102040816,0.0006802721088435375,0.02870840869290614,32,102
44,reweighing,90.0,0,10,1000,987,0.5,0.004,0.003,0.002,0.001,0.25100401606425704,3,4
44,reweighing,90.0,1,32,3200,3043,0.21875,0.0028125,0.0003125,0.000615234375,-0.000302734375,-0.10794247710574881,1,9
