seed,model_variant,threshold_min,delta_fnr_0_minus_1,delta_C_0_minus_1,delta_J_0_minus_1,delta_E_0_minus_1
56,none,90.0,0.2222222222222222,-0.0030555555555555995,-0.0002777777777777,-0.00030864197530860006
56,post_processing,30.0,0.2777777777777778,-0.011388888888888893,0.0352777777777778,-0.0034413580246913
56,post_processing,45.0,0.2777777777777778,-0.018333333333333396,0.0055555555555556,-0.0049999999999999
56,post_processing,60.0,0.2777777777777778,-0.0180555555555555,0.0019444444444445001,0.0006327160493826604
56,post_processing,90.0,0.2777777777777778,-0.0030555555555555995,-0.0002777777777777,-0.0005709876543209321
56,reweighing,30.0,0.13888888888888892,-0.011388888888888893,0.015833333333333397,-0.0016280864197531
56,reweighing,45.0,0.13888888888888892,-0.018333333333333396,-0.0016666666666665993,-0.0038888888888888
56,reweighing,60.0,0.13888888888888892,-0.0180555555555555,-0.0019444444444443997,0.00040895061728390004
56,reweighing,90.0,0.13888888888888892,-0.0030555555555555995,-0.0008333333333333,-0.00047067901234562354
57,none,30.0,0.4040404040404041,0.018989898989899,0.07333333333333329,0.0053606774818895
57,none,45.0,0.4040404040404041,0.011717171717171702,0.0313131313131313,0.0021528415467808
57,none,60.0,0.4040404040404041,0.004545454545454498,0.0117171717171717,0.0002540557086012
57,none,90.0,0.4040404040404041,0.0026262626262626002,0.0008080808080808001,-0.0013855729007243912
57,post_processing,30.0,0.10101010101010101,0.018989898989899,0.041515151515151505,0.0229394959697989
57,post_processing,45.0,0.10101010101010101,0.011717171717171702,0.0190909090909091,0.010824405672890499
57,post_processing,60.0,0.10101010101010101,0.004545454545454498,0.007070707070707,0.0038261401897764
57,post_processing,90.0,0.10101010101010101,0.0026262626262626002,0.0011111111111111,0.00034384246505450003
57,reweighing,30.0,0.29292929292929293,0.018989898989899,0.058888888888888796,0.0088174676053463
57,reweighing,45.0,0.29292929292929293,0.011717171717171702,0.0246464646464647,0.003017039077645
57,reweighing,60.0,0.29292929292929293,0.004545454545454498,0.0083838383838384,-0.00011631466176920005
57,reweighing,90.0,0.29292929292929293,0.0026262626262626002,0.0008080808080808001,-0.0008917457402304912
58,none,30.0,-0.09210526315789469,-0.03776315789473679,-0.0239473684210526,-0.0011270775623268
58,none,45.0,-0.09210526315789469,0.0017105263157894957,-0.006184210526315698,-0.0019338642659278002
58,none,60.0,-0.09210526315789469,0.0009210526315789995,-0.0003947368421051995,0.0013625346260387999
58,none,90.0,-0.09210526315789469,-0.0031578947368421,-0.0005263157894736,0.0005540166204986
58,post_processing,30.0,-0.3421052631578947,-0.03776315789473679,-0.0489473684210526,0.0007479224376731
58,post_processing,45.0,-0.3421052631578947,0.0017105263157894957,-0.0186842105263157,-0.0013088642659279
58,post_processing,60.0,-0.3421052631578947,0.0009210526315789995,-0.0078947368421052,-0.0005124653739612
58,post_processing,90.0,-0.3421052631578947,-0.0031578947368421,-0.0005263157894736,0.0005540166204986
58,reweighing,30.0,-0.3684210526315789,-0.03776315789473679,-0.0518421052631579,0.0016759002770083
58,reweighing,45.0,-0.3684210526315789,0.0017105263157894957,-0.0194736842105263,-0.0007617728531855
58,reweighing,60.0,-0.3684210526315789,0.0009210526315789995,-0.0081578947368421,-0.0002077562326869
58,reweighing,90.0,-0.3684210526315789,-0.0031578947368421,-0.0005263157894736,0.0006371191135734
59,none,30.0,0.10270270270270271,0.03324324324324332,0.022108108108108204,-0.0052344777209642
59,none,45.0,0.10270270270270271,0.004324324324324405,0.0005945945945945996,-0.0058261504747991
59,none,60.0,0.10270270270270271,0.00027027027027029873,-0.0035675675675674997,-0.0057019722425127005
59,none,90.0,0.10270270270270271,-0.0008648648648648003,-0.0018918918918918,-0.0020455807158509002
59,post_processing,30.0,0.15675675675675682,0.03324324324324332,0.0315675675675676,-0.0031672753834917
59,post_processing,45.0,0.15675675675675682,0.004324324324324405,0.004648648648648701,-0.0042410518626734
59,post_processing,60.0,0.15675675675675682,0.00027027027027029873,-0.0024864864864864,-0.0056873630387143
59,post_processing,90.0,0.15675675675675682,-0.0008648648648648003,-0.0013513513513513,-0.0017680058436815
59,reweighing,30.0,-0.0972972972972973,0.03324324324324332,-0.0195135135135135,-0.0128560993425858
59,reweighing,45.0,-0.0972972972972973,0.004324324324324405,-0.0087567567567567,-0.0051775018261504
59,reweighing,60.0,-0.0972972972972973,0.00027027027027029873,-0.0061081081081081,-0.0042425127830533
59,reweighing,90.0,-0.0972972972972973,-0.0008648648648648003,-0.0021621621621621,-0.0015158509861212
60,none,30.0,0.04375000000000001,0.006312499999999999,0.011500000000000003,0.004344921874999999
60,none,45.0,0.04375000000000001,0.0018125000000000016,0.0044375,0.0020105468749999
60,none,60.0,0.04375000000000001,-0.003250000000000003,0.004125,0.0038453124999999998
60,none,90.0,0.04375000000000001,-0.0030625,0.0,0.00043476562500000004
60,post_processing,30.0,-0.11875,0.006312499999999999,-0.0113125,0.004050390625
60,post_processing,45.0,-0.11875,0.0018125000000000016,-0.0033749999999999995,0.0020472656249999003
60,post_processing,60.0,-0.11875,-0.003250000000000003,0.0008749999999999999,0.0037234375
60,post_processing,90.0,-0.11875,-0.0030625,-0.0003125,0.000476171875
60,reweighing,30.0,0.04375000000000001,0.006312499999999999,0.011500000000000003,0.004344921874999999
60,reweighing,45.0,0.04375000000000001,0.0018125000000000016,0.0044375,0.0020105468749999
60,reweighing,60.0,0.04375000000000001,-0.003250000000000003,0.004125,0.0038453124999999998
60,reweighing,90.0,0.04375000000000001,-0.0030625,0.0,0.00043476562500000004
61,none,30.0,0.1691176470588236,0.0050000000000000044,0.031764705882353,0.0053676470588235
61,none,45.0,0.1691176470588236,-0.004779411764705803,0.012573529411764801,0.0044674524221452
61,none,60.0,0.1691176470588236,-0.004926470588235199,0.0062499999999999995,0.0036705233564012
61,none,90.0,0.1691176470588236,-0.0030882352941175996,-0.00022058823529410004,-7.569204152199996e-06
61,post_processing,30.0,-0.1985294117647059,0.0050000000000000044,-0.0363235294117647,-0.0081617647058822
61,post_processing,45.0,-0.1985294117647059,-0.004779411764705803,-0.0153676470588235,-0.0031504108996539
61,post_processing,60.0,-0.1985294117647059,-0.004926470588235199,-0.007279411764705799,-0.0014668036332179933
61,post_processing,90.0,-0.1985294117647059,-0.0030882352941175996,-0.0014705882352941,2.48702422145e-05
61,reweighing,30.0,0.1691176470588236,0.0050000000000000044,0.030588235294117697,0.0041911764705882
61,reweighing,45.0,0.1691176470588236,-0.004779411764705803,0.012573529411764801,0.0044674524221452
61,reweighing,60.0,0.1691176470588236,-0.004926470588235199,0.0065441176470589,0.0039646410034601
61,reweighing,90.0,0.1691176470588236,-0.0030882352941175996,-0.00022058823529410004,-7.569204152199996e-06
62,none,30.0,0.03783783783783792,0.005837837837837895,0.0097297297297298,0.0031830533235937
62,none,45.0,0.03783783783783792,0.006594594594594598,0.0032432432432433003,0.00020628195763339999
62,none,60.0,0.03783783783783792,-0.0007027027027027011,0.00021621621621630005,-0.0005022644265887
62,none,90.0,0.03783783783783792,0.0035675675675676,-0.0005405405405405,-0.0013460920379839
62,post_processing,30.0,-0.01621621621621619,0.005837837837837895,0.0016216216216216987,0.0027593864134403
62,post_processing,45.0,-0.01621621621621619,0.006594594594594598,-0.0005405405405405003,-0.0011231555880203
62,post_processing,60.0,-0.01621621621621619,-0.0007027027027027011,-0.0011351351351351,-0.000626442658875
62,post_processing,90.0,-0.01621621621621619,0.0035675675675676,-0.0008108108108108,-0.0014848794740685998
62,reweighing,30.0,0.03783783783783792,0.005837837837837895,0.0097297297297298,0.0031830533235937
62,reweighing,45.0,0.03783783783783792,0.006594594594594598,0.0032432432432433003,0.00020628195763339999
62,reweighing,60.0,0.03783783783783792,-0.0007027027027027011,0.00021621621621630005,-0.0005022644265887
62,reweighing,90.0,0.03783783783783792,0.0035675675675676,-0.0005405405405405,-0.0013460920379839
63,none,30.0,0.0,-0.021944444444444378,-0.0077777777777776995,-0.0041203703703702
63,none,45.0,0.0,-0.012499999999999997,-0.0066666666666667,-0.0045833333333332
63,none,60.0,0.0,0.005277777777777801,-0.0013888888888888996,-0.0022685185185184
63,none,90.0,0.0,-0.0005555555555554997,0.0008333333333333,0.000925925925926
63,post_processing,30.0,-0.2500000000000001,-0.021944444444444378,-0.0508333333333333,-0.0079398148148147
