model_variant,threshold_min,group,metric,mean,ci_low,ci_high,n_seeds
post_processing,90.0,ALL,C,0.0035793650793650234,0.00319047619047613,0.0040557539682539185,30
post_processing,90.0,ALL,J,0.0008571428571428064,0.000706349206349163,0.0009920634920634332,30
post_processing,90.0,ALL,J_ind,0.0009212018140589066,0.0007675689720332098,0.001076554232804188,30
post_processing,90.0,ALL,E,-6.405895691609846e-05,-0.0001874574829931713,4.762849584277182e-05,30
reweighing,30.0,0,fnr,0.22511294261294262,0.173216625966626,0.28059806166056167,30
reweighing,30.0,0,C,0.1446630341880342,0.13988773987586486,0.14928314000814,30
reweighing,30.0,0,J,0.03390653235653234,0.025137633547008542,0.04277802248677247,30
reweighing,30.0,0,J_ind,0.03324901817115185,0.025313318021961847,0.04141424779448266,30
reweighing,30.0,0,E,0.0006575141853804833,-0.000873364108297632,0.0022166739938852885,30
reweighing,30.0,1,fnr,0.2283807675020176,0.20428729272057738,0.2552534230806039,30
reweighing,30.0,1,C,0.1457810600783297,0.14380097639139744,0.14786632988312692,30
reweighing,30.0,1,J,0.03313819089057955,0.0296713664024572,0.03666778885041793,30
reweighing,30.0,1,J_ind,0.03321299389325363,0.029569468785785143,0.036822954937391794,30
reweighing,30.0,1,E,-7.480300267407001e-05,-0.0006812682218253089,0.0004935486007785541,30
reweighing,30.0,ALL,fnr,0.2293650793650793,0.2103174603174603,0.24841269841269836,30
reweighing,30.0,ALL,C,0.14561111111111108,0.1440392857142857,0.1473412698412698,30
reweighing,30.0,ALL,J,0.033539682539682494,0.030793650793650762,0.0363021825396825,30
reweighing,30.0,ALL,J_ind,0.033382842025699126,0.030323341836734647,0.036047160808767915,30
reweighing,30.0,ALL,E,0.00015684051398336593,-0.0004590608465608496,0.0007494378306878149,30
reweighing,45.0,0,fnr,0.22511294261294262,0.1689393315018315,0.2790100986975986,30
reweighing,45.0,0,C,0.05260657305657304,0.04979797084859583,0.055486200396825384,30
reweighing,45.0,0,J,0.012106939356939345,0.00860034544159543,0.015561683201058182,30
reweighing,45.0,0,J_ind,0.011942562289014498,0.008847639774527847,0.01506026527318409,30
reweighing,45.0,0,E,0.00016437706792483343,-0.0007559214813240107,0.0012958603203426157,30
reweighing,45.0,1,fnr,0.2283807675020176,0.20325360971760062,0.25467768607383745,30
reweighing,45.0,1,C,0.052079404799231024,0.05056823257417248,0.053482145389633556,30
reweighing,45.0,1,J,0.01175026804751366,0.01041514858355712,0.013057721815461922,30
reweighing,45.0,1,J_ind,0.011793094414173238,0.010655802307934985,0.012900004532460069,30
reweighing,45.0,1,E,-4.282636665957136e-05,-0.0006005319906033894,0.0005024420364708676,30
reweighing,45.0,ALL,fnr,0.2293650793650793,0.21111111111111108,0.2484126984126984,30
reweighing,45.0,ALL,C,0.05221428571428568,0.05096666666666662,0.05357976190476186,30
reweighing,45.0,ALL,J,0.01193650793650789,0.01091269841269837,0.012976190476190422,30
reweighing,45.0,ALL,J_ind,0.011962396069538877,0.01089822845804984,0.012913893613000712,30
reweighing,45.0,ALL,E,-2.5888133030991754e-05,-0.0005155659486016513,0.00045203136810278977,30
reweighing,60.0,0,fnr,0.22511294261294262,0.17092625661375663,0.2764661172161172,30
reweighing,60.0,0,C,0.022301689051689038,0.02021879807692306,0.02433182463369961,30
reweighing,60.0,0,J,0.0048852767602767504,0.0032329718660968577,0.006728326719576708,30
reweighing,60.0,0,J_ind,0.0050662466341091,0.003694323328954894,0.006679776421109724,30
reweighing,60.0,0,E,-0.00018096987383236005,-0.0008912050073147612,0.0005624127951156716,30
reweighing,60.0,1,fnr,0.2283807675020176,0.2040742355526471,0.25214420877527893,30
reweighing,60.0,1,C,0.02225681292880566,0.02108785228223472,0.02335045203524206,30
reweighing,60.0,1,J,0.00496657016954401,0.004337171211286926,0.005560645999222466,30
reweighing,60.0,1,J_ind,0.005071530944231627,0.004514834169041474,0.005619617615040527,30
reweighing,60.0,1,E,-0.00010496077468763,-0.00043844377029832605,0.0002367838117828417,30
reweighing,60.0,ALL,fnr,0.2293650793650793,0.21111111111111108,0.24682539682539678,30
reweighing,60.0,ALL,C,0.02226984126984122,0.021277579365079312,0.02330972222222218,30
reweighing,60.0,ALL,J,0.005015873015872971,0.004484126984126943,0.005539682539682501,30
reweighing,60.0,ALL,J_ind,0.005120370370370325,0.004626256613756571,0.005592984693877503,30
