seed,threshold_min,scenario,fnr,C,J,joint_event_count,n_geo_realizations,n_repaired_cases
52,60.0,S1,0.2619047619047619,0.01904761904761905,0.005952380952380952,25,4200,0
52,60.0,S2,0.2619047619047619,0.005,0.0011904761904761906,5,4200,0
52,60.0,S3,0.2619047619047619,0.005,0.0011904761904761906,5,4200,0
53,30.0,S0,0.21428571428571427,0.13904761904761906,0.030476190476190476,128,4200,3
53,30.0,S1,0.14285714285714285,0.13904761904761906,0.020476190476190478,86,4200,3
53,30.0,S2,0.21428571428571427,0.06547619047619048,0.015714285714285715,66,4200,3
53,30.0,S3,0.14285714285714285,0.06547619047619048,0.008571428571428572,36,4200,3
53,60.0,S0,0.21428571428571427,0.017619047619047618,0.004285714285714286,18,4200,3
53,60.0,S1,0.14285714285714285,0.017619047619047618,0.0019047619047619048,8,4200,3
53,60.0,S2,0.21428571428571427,0.0038095238095238095,0.0014285714285714286,6,4200,3
53,60.0,S3,0.14285714285714285,0.0038095238095238095,0.0002380952380952381,1,4200,3
54,30.0,S0,0.11904761904761904,0.15166666666666667,0.016904761904761905,71,4200,0
54,30.0,S1,0.11904761904761904,0.15166666666666667,0.016904761904761905,71,4200,0
54,30.0,S2,0.11904761904761904,0.07571428571428572,0.008095238095238095,34,4200,0
54,30.0,S3,0.11904761904761904,0.07571428571428572,0.008095238095238095,34,4200,0
54,60.0,S0,0.11904761904761904,0.021666666666666667,0.002619047619047619,11,4200,0
54,60.0,S1,0.11904761904761904,0.021666666666666667,0.002619047619047619,11,4200,0
54,60.0,S2,0.11904761904761904,0.007619047619047619,0.0016666666666666668,7,4200,0
54,60.0,S3,0.11904761904761904,0.007619047619047619,0.0016666666666666668,7,4200,0
55,30.0,S0,0.23809523809523808,0.1461904761904762,0.030476190476190476,128,4200,1
55,30.0,S1,0.21428571428571427,0.1461904761904762,0.027857142857142858,117,4200,1
55,30.0,S2,0.23809523809523808,0.07714285714285714,0.016428571428571428,69,4200,1
55,30.0,S3,0.21428571428571427,0.07714285714285714,0.015,63,4200,1
55,60.0,S0,0.23809523809523808,0.024285714285714285,0.004761904761904762,20,4200,1
55,60.0,S1,0.21428571428571427,0.024285714285714285,0.004523809523809524,19,4200,1
55,60.0,S2,0.23809523809523808,0.008809523809523809,0.002142857142857143,9,4200,1
55,60.0,S3,0.21428571428571427,0.008809523809523809,0.002142857142857143,9,4200,1
56,30.0,S0,0.14285714285714285,0.15142857142857144,0.019285714285714285,81,4200,1
56,30.0,S1,0.11904761904761904,0.15142857142857144,0.016666666666666666,70,4200,1
56,30.0,S2,0.14285714285714285,0.07714285714285714,0.009761904761904762,41,4200,1
56,30.0,S3,0.11904761904761904,0.07714285714285714,0.008571428571428572,36,4200,1
56,60.0,S0,0.14285714285714285,0.023809523809523808,0.002857142857142857,12,4200,1
56,60.0,S1,0.11904761904761904,0.023809523809523808,0.002619047619047619,11,4200,1
56,60.0,S2,0.14285714285714285,0.007142857142857143,0.0004761904761904762,2,4200,1
56,60.0,S3,0.11904761904761904,0.007142857142857143,0.0004761904761904762,2,4200,1
57,30.0,S0,0.23809523809523808,0.1461904761904762,0.03571428571428571,150,4200,4
57,30.0,S1,0.14285714285714285,0.1461904761904762,0.02214285714285714,93,4200,4
57,30.0,S2,0.23809523809523808,0.07714285714285714,0.019285714285714285,81,4200,4
57,30.0,S3,0.14285714285714285,0.07714285714285714,0.011904761904761904,50,4200,4
57,60.0,S0,0.23809523809523808,0.023095238095238096,0.005238095238095238,22,4200,4
57,60.0,S1,0.14285714285714285,0.023095238095238096,0.0035714285714285713,15,4200,4
57,60.0,S2,0.23809523809523808,0.005238095238095238,0.0009523809523809524,4,4200,4
57,60.0,S3,0.14285714285714285,0.005238095238095238,0.0009523809523809524,4,4200,4
58,30.0,S0,0.3333333333333333,0.14166666666666666,0.04666666666666667,196,4200,3
58,30.0,S1,0.2619047619047619,0.14166666666666666,0.0380952380952381,160,4200,3
58,30.0,S2,0.3333333333333333,0.06761904761904762,0.023095238095238096,97,4200,3
58,30.0,S3,0.2619047619047619,0.06761904761904762,0.019285714285714285,81,4200,3
